iter	Passed	Remaining
455	935	5219
456	937	5215
457	940	5217
458	941	5213
459	943	5210
460	945	5207
461	947	5204
462	949	5201
463	951	5200
464	953	5197
465	955	5193
466	956	5189
467	958	5184
468	959	5180
469	961	5175
470	963	5170
471	964	5166
472	966	5162
473	967	5157
474	969	5152
475	970	5148
476	972	5143
477	974	5140
478	976	5136
479	977	5133
480	980	5134
481	981	5129
482	984	5129
483	986	5127
484	988	5123
485	989	5118
486	991	5113
487	993	5113
488	994	5108
489	996	5103
490	997	5097
491	998	5091
492	1000	5088
493	1002	5083
494	1003	5078
495	1004	5072
496	1006	5070
497	1008	5065
498	1009	5059
499	1010	5053
500	1012	5050
501	1014	5046
502	1015	5042
503	1017	5038
504	1018	5032
505	1020	5029
506	1021	5025
507	1023	5021
508	1025	5016
509	1026	5011
510	1027	5005
511	1029	5001
512	1030	4997
513	1034	5001
514	1036	5000
515	1038	4997
516	1040	4994
517	1041	4991
518	1043	4989
519	1045	4985
520	1047	4982
521	1048	4978
522	1050	4974
523	1051	4969
524	1053	4965
525	1054	4960
526	1056	4956
527	1057	4952
528	1059	4947
529	1061	4948
530	1063	4943
531	1064	4938
532	1065	4933
533	1067	4928
534	1068	4924
535	1070	4921
536	1072	4917
537	1074	4918
538	1077	4920
539	1079	4917
540	1081	4914
541	1082	4909
542	1084	4905
543	1085	4901
544	1087	4897
545	1089	4895
546	1090	4890
547	1092	4887
548	1093	4883
549	1095	4881
550	1097	4876
551	1098	4871
552	1099	4867
553	1101	4862
554	1102	4858
555	1104	4854
556	1105	4849
557	1106	4844
558	1108	4839
559	1109	4835
560	1111	4830
561	1112	4826
562	1113	4821
563	1116	4824
564	1118	4821
565	1120	4818
566	1122	4814
567	1123	4812
568	1125	4808
569	1127	4805
570	1128	4800
571	1130	4798
572	1132	4795
573	1134	4793
574	1135	4789
575	1137	4786
576	1138	4782
577	1140	4779
578	1142	4775
579	1143	4771
580	1145	4768
581	1146	4765
582	1148	4760
583	1149	4756
584	1151	4752
585	1152	4748
586	1154	4743
587	1155	4739
588	1156	4735
589	1158	4732
590	1160	4729
591	1161	4725
592	1163	4721
593	1165	4719
594	1166	4716
595	1168	4714
596	1170	4711
597	1172	4710
598	1174	4708
599	1176	4704
600	1177	4701
601	1180	4700
602	1181	4698
603	1183	4694
604	1184	4690
605	1186	4688
606	1188	4685
607	1190	4681
608	1191	4678
609	1192	4673
610	1194	4670
611	1195	4666
612	1197	4662
613	1199	4662
614	1201	4659
615	1204	4660
616	1206	4657
617	1207	4655
618	1209	4653
619	1211	4649
620	1213	4650
621	1215	4647
622	1217	4644
623	1218	4641
624	1221	4641
625	1223	4638
626	1225	4638
627	1227	4635
628	1229	4634
629	1232	4635
630	1234	4633
631	1236	4632
632	1238	4630
633	1240	4629
634	1242	4628
635	1244	4626
636	1247	4626
637	1248	4623
638	1250	4620
639	1255	4631
