iter	MAE
0	0.2880923714
1	0.2817477233
2	0.2753614506
3	0.2697461253
4	0.2643935505
5	0.2586348963
6	0.2536255048
7	0.2484147506
8	0.2440198381
9	0.239415189
10	0.2348602122
11	0.2310299539
12	0.2267564151
13	0.2227247671
14	0.2184230707
15	0.2143891216
16	0.2111341982
17	0.2081796037
18	0.2049503079
19	0.2018723437
20	0.1988431612
21	0.1962890675
22	0.1933476919
23	0.1903558211
24	0.1871955404
25	0.1843712549
26	0.1816590611
27	0.1788415914
28	0.1760920289
29	0.173602475
30	0.1712352072
31	0.1688096657
32	0.1664056154
33	0.16475951
34	0.1625407247
35	0.1606744605
36	0.158506982
37	0.1568707431
38	0.1549303667
39	0.1535631045
40	0.1519197025
41	0.1504802174
42	0.1489751683
43	0.1475288273
44	0.146193405
45	0.1447925787
46	0.1434463126
47	0.1421780522
48	0.1407341722
49	0.1397152722
50	0.1383933829
51	0.1372393011
52	0.136098914
53	0.1349942691
54	0.1339100788
55	0.13302683
56	0.1321155929
57	0.1309488586
58	0.1299653922
59	0.1290835597
60	0.1280376435
61	0.1270176079
62	0.126116083
63	0.125347875
64	0.1245518085
65	0.1238421378
66	0.1231521847
67	0.1224356569
68	0.1218234156
69	0.1211556161
70	0.1204237008
71	0.1198291965
72	0.119200978
73	0.1185059658
74	0.1178779219
75	0.1174014466
76	0.1167688998
77	0.1161802378
78	0.1157741819
79	0.1153140584
80	0.1147467432
81	0.1140539147
82	0.1135662524
83	0.1130297293
84	0.1125236229
85	0.1119654767
86	0.1114133776
87	0.1109479131
88	0.1104958971
89	0.1099960672
90	0.1095355769
91	0.109142547
92	0.1087589098
93	0.108257328
94	0.1078164323
95	0.1075365853
96	0.1072364455
97	0.1068089057
98	0.1065659698
99	0.1060625312
100	0.1057442644
101	0.1054302852
102	0.1050135337
103	0.1047247581
104	0.1043657399
105	0.1040199728
106	0.1036166659
107	0.1032941781
108	0.1030298822
109	0.1028038285
110	0.1025069895
111	0.1022725923
112	0.1020098373
113	0.1017510193
114	0.1015871535
115	0.1013446767
116	0.101175519
117	0.1009763685
118	0.1007366373
119	0.1005316333
120	0.1003297486
121	0.1001502176
122	0.09989875146
123	0.09973480667
124	0.09953127293
125	0.09933585935
126	0.09918080827
127	0.09893101282
128	0.09877183675
129	0.09856196457
130	0.09832792255
131	0.09813165354
132	0.09796543907
133	0.09780232772
134	0.09764046342
135	0.09748482365
136	0.09728029893
137	0.09712263135
138	0.0969176771
139	0.09679293125
140	0.09664849052
141	0.09641363692
142	0.09633079568
143	0.09622594489
144	0.0960767744
145	0.09597873355
146	0.09576533846
147	0.09558413272
148	0.09549146889
149	0.09532219328
150	0.09516431114
151	0.09503417664
152	0.0948715468
153	0.0947691275
154	0.09467671697
155	0.09454901804
156	0.09445030343
157	0.09436573201
158	0.09423336115
159	0.09412466835
160	0.09406443031
161	0.09395566226
162	0.09385651174
163	0.09376432169
164	0.09370157218
165	0.09362085829
166	0.09357957301
167	0.09351730628
168	0.09345738388
169	0.09336032297
170	0.09325237395
171	0.09318450612
172	0.09305642263
173	0.09290202145
174	0.09277847601
175	0.0927302259
176	0.09264143186
177	0.09254473991
178	0.09242336349
179	0.09234459468
180	0.09228712247
181	0.09220582093
182	0.09211468697
183	0.0920119773
184	0.09193033339
185	0.09181900727
186	0.09169364414
187	0.09161310934
188	0.09153442083
189	0.09151437058
190	0.09148839839
191	0.09140262774
192	0.09135899764
193	0.09125376545
194	0.09122298676
195	0.09117081194
196	0.09105822385
197	0.09101258802
198	0.09090790909
199	0.09085454497
200	0.09074245954
201	0.0906853622
202	0.0905947122
203	0.09055464792
204	0.09044719393
205	0.09040219579
206	0.09032671175
207	0.09028435919
208	0.09021731855
209	0.09010905086
210	0.09000531504
211	0.0899061781
212	0.08989272668
213	0.08981350907
214	0.08976887687
215	0.08969340882
216	0.0896497624
217	0.089621006
218	0.0895513814
219	0.08948789863
220	0.08943640165
221	0.08936077404
222	0.08933014935
223	0.08926890626
224	0.08919250859
225	0.08910396936
226	0.08904339969
227	0.08900535078
228	0.08895512662
229	0.08891593794
230	0.0888428626
231	0.08876570973
232	0.08870162835
233	0.08867840329
234	0.08864325158
235	0.08859500986
236	0.08855845595
237	0.08850589095
238	0.08843757739
239	0.08837055362
240	0.08829357209
241	0.08824858165
242	0.08821216346
243	0.08819139117
244	0.08815624202
245	0.08811681659
246	0.08807320017
247	0.08804683002
248	0.08799522733
249	0.08791393684
250	0.08781570251
251	0.08774046278
252	0.08757166852
253	0.08751706048
254	0.08748517773
255	0.08741268361
256	0.08734190118
257	0.08728378524
258	0.08722567992
259	0.08718549106
260	0.08711906355
261	0.08705748533
262	0.08699846076
263	0.08694435984
264	0.08689888862
265	0.0868488763
266	0.08678113346
267	0.086744633
268	0.0866999012
269	0.08665067482
270	0.08658701414
271	0.08654522097
272	0.08648902538
273	0.08640663106
274	0.08638064924
275	0.08628749019
276	0.08623030666
277	0.0861763971
278	0.08613061748
279	0.08607395479
280	0.0860431807
281	0.08596706573
282	0.0859192022
283	0.08587447568
284	0.08583801968
285	0.0857975356
286	0.08574152323
287	0.08567835963
288	0.08563640571
289	0.08557318481
290	0.08552564387
291	0.08547474238
292	0.08541358511
293	0.0853678054
294	0.08532126669
295	0.0852759383
296	0.08523517752
297	0.08517411963
298	0.08513252295
299	0.08510526911
300	0.08499833207
301	0.08495765838
302	0.08488745358
303	0.08482643435
304	0.08479374142
305	0.08470989684
306	0.08467520062
307	0.08461352716
308	0.08457150502
309	0.08452723604
310	0.08446411417
311	0.08442576544
312	0.08438444121
313	0.08435568094
314	0.08430921951
315	0.08428976997
316	0.08423661148
317	0.08420669082
318	0.08414877388
319	0.08409321952
320	0.08404961351
321	0.08398896034
322	0.08392362081
323	0.08383933339
